Emissor,CNPJ,Emissão,Série,Quantidade,Valor,PM,Dono,Competência,% do PL Dono
CRI_20I0668028 - RB CAPITAL SA,20.502.525/0001-32,1,275,5000.0,2680807.73,536.161546,CVBI11,04/2022,0.25927694402102663
CRI_20I0668028 - RB CAPITAL SA,20.502.525/0001-32,1,275,15837.0,8491190.42,536.161547010166,CVBI11,04/2022,0.821233794039462
CRI_22F0636861 - RB CAPITAL SA,20.502.525/0001-32,27,2,20000.0,17600604.46,880.0302230000001,CVBI11,04/2022,1.7022596907058498
CRI_22K1397969 - OPEA SEC,02.773.542/0001-22,78,1,14990.0,15119119.42,1008.613703802535,CVBI11,04/2022,1.4622604357778977
CRI_18L1128777 - HABITASEC ,09.304.427/0001-58,1,124,5173.0,4214794.18,814.7678677749855,CVBI11,04/2022,0.40763794525018354
CRI_19J0713611 - HABITASEC ,09.304.427/0001-58,1,171,15544.0,15415502.96,991.7333350488935,CVBI11,04/2022,1.4909254599977935
CRI_19J0713611 - HABITASEC ,09.304.427/0001-58,1,171,712.0,706114.13,991.7333286516854,CVBI11,04/2022,0.06829251934321524
CRI_19J0713611 - HABITASEC ,09.304.427/0001-58,1,171,2032.0,2015202.13,991.7333316929133,CVBI11,04/2022,0.1949022468131512
CRI_19J0713612 - HABITASEC ,09.304.427/0001-58,1,176,15544.0,15415502.96,991.7333350488935,CVBI11,04/2022,1.4909254599977935
CRI_19J0713612 - HABITASEC ,09.304.427/0001-58,1,176,712.0,706114.13,991.7333286516854,CVBI11,04/2022,0.06829251934321524
CRI_19J0713612 - HABITASEC ,09.304.427/0001-58,1,176,2032.0,2015202.13,991.7333316929133,CVBI11,04/2022,0.1949022468131512
CRI_20B0797175 - HABITASEC ,09.304.427/0001-58,1,172,2000.0,914167.0,457.0835,CVBI11,04/2022,0.08841455634152094
CRI_20B0797175 - HABITASEC ,09.304.427/0001-58,1,172,5000.0,2285417.5,457.0835,CVBI11,04/2022,0.22103639085380233
CRI_20K0778773 - HABITASEC ,09.304.427/0001-58,1,208,29000.0,5679070.13,195.83000448275862,CVBI11,04/2022,0.5492568272277752
CRI_20K0778773 - HABITASEC ,09.304.427/0001-58,1,208,4000.0,783320.01,195.8300025,CVBI11,04/2022,0.0757595616091871
CRI_21I0016224 - CIA HIPOTECARIA PIRATINI,18.282.093/0001-50,3,45,45000.0,34225328.95,760.5628655555556,CVBI11,04/2022,3.3101361947618577
CRI_20E0031084 - BARISEC,10.608.405/0002-41,1,79,6024.0,6242891.26,1036.3365305444886,CVBI11,04/2022,0.6037873397762756
CRI_20E0031084 - BARISEC,10.608.405/0002-41,1,79,4976.0,5156810.57,1036.336529340836,CVBI11,04/2022,0.49874598260910286
19I0331635 - BRAZIL REALTY CIA SECURITIZADORA DE CRÉD. IMOB.,07.119.838/0001-48,10,1,9994.0,3208604.86,321.0531178707224,CYCR11,4/2022,2.0583542021795633
21H0892530 - VERT COMPANHIA SECURITIZADORA,25.005.683/0001-09,57,1,12000.0,11162366.32,930.1971933333333,CYCR11,4/2022,7.160776918177338
21L0735965 - VIRGO COMPANHIA DE SECURITIZAÇÃO,08.769.451/0001-08,4,420,12000.0,11825650.06,985.4708383333334,CYCR11,4/2022,7.586280504015071
22C0899517 - BARI SECURITIZADORA S.A.,10.608.405/0001-60,1,103,3960.0,3589254.01,906.3772752525252,CYCR11,4/2022,2.302544687342195
21E0751261 - VERT COMPANHIA SECURITIZADORA,25.005.683/0001-09,40,1,11000.0,10708918.67,973.5380609090909,CYCR11,4/2022,6.869885419669183
22E1178070 - VIRGO COMPANHIA DE SECURITIZAÇÃO,08.769.451/0001-08,19,única,9900.0,9615860.13,971.2990030303031,CYCR11,4/2022,6.168676720808938
20L0610016 - GAIA SECURITIZADORA S.A,07.587.384/0001-30,4,167,10000.0,1392777.66,139.27776599999999,CYCR11,4/2022,0.8934817075489996
21I0683349 - BRAZIL REALTY CIA SECURITIZADORA DE CRÉD. IMOB.,07.119.838/0001-48,1,435,5000.0,3046683.57,609.3367139999999,CYCR11,4/2022,1.9544799695344641
22H1116780 - VIRGO COMPANHIA DE SECURITIZAÇÃO,08.769.451/0001-08,41,2,8224.0,8164176.22,992.7257076848249,CYCR11,4/2022,5.2374060262975055
22H1389755 - COMPANHIA PROVINCIA DE SECURITIZAÇÃO,00.420.064/9001-07,19,1,15500.0,15098425.84,974.0919896774193,CYCR11,4/2022,9.685801035051883
22H1104501 - BARI SECURITIZADORA S.A.,10.608.405/0001-60,8,1,10025.0,9598165.7,957.4230124688279,CYCR11,4/2022,6.1573255554474065
22J1370286 - COMPANHIA PROVINCIA DE SECURITIZAÇÃO,00.420.064/9001-07,27,1,10000.0,10006568.46,1000.6568460000001,CYCR11,4/2022,6.419320277112115
22I0099580 - BARI SECURITIZADORA S.A.,10.608.405/0001-60,12,"1,2,3",5000.0,4867647.64,973.5295279999999,CYCR11,4/2022,3.122647820998262
22L1473410 - VIRGO COMPANHIA DE SECURITIZAÇÃO,08.769.451/0001-08,73,4,6610.0,6613712.82,1000.5616974281393,CYCR11,4/2022,4.2427672365539735
FORTE SECURITIZADORA S.A.,12.979.898/0001-70,2,3,2100.0,2023897.8,963.7608571428572,DEVA11,4/2022,0.14244074668071027
FORTE SECURITIZADORA S.A.,12.979.898/0001-70,2,4,1400.0,1357243.41,969.4595785714286,DEVA11,4/2022,0.09552199955347221
FORTE SECURITIZADORA S.A.,12.979.898/0001-70,2,2,2000.0,2819517.54,1409.75877,DEVA11,4/2022,0.19843599991904698
FORTE SECURITIZADORA S.A.,12.979.898/0001-70,2,1,3000.0,4143722.93,1381.2409766666667,DEVA11,4/2022,0.2916328028950773
RB SEC COMPANHIA DE SECURITIZACAO,02.773.542/0001-22,1,486,2150.0,2251235.95,1047.086488372093,DEVA11,4/2022,0.15844067307769105
RB SEC COMPANHIA DE SECURITIZACAO,02.773.542/0001-22,1,427,2355.0,2495060.92,1059.4738513800423,DEVA11,4/2022,0.1756009322499683
FORTE SECURITIZADORA S.A.,12.979.898/0001-70,1,702,2360.0,2396805.5,1015.5955508474576,DEVA11,4/2022,0.1686857731000217
FORTE SECURITIZADORA S.A.,12.979.898/0001-70,1,701,3540.0,3519835.88,994.3039209039548,DEVA11,4/2022,0.2477239962120394
